Latitude,Longitude,Crop Type,City Name,Temperature,Humidity,Wind Speed,Weather Description,2023 IN MM,2022 IN MM
34.052235,139.691711,Jute,Coimbatore,15,55,6,Clear,907,716
34.052235,37.617298,Groundnut,Cuttack,1,32,12,Clear,892,1091
34.052235,-118.243683,Jute,Dehradun,18,54,10,Sunny,1402,1892
34.052235,-74.005974,Bottle Gourd,Delhi,17,22,33,Sunny,558,518
34.052235,-0.127758,Papaya,Dhanbad,13,82,7,Clear,1256,1669
34.052235,2.352222,Beans,Dibrugarh,12,100,12,Light Rain,1933,2726
34.052235,13.404954,Quinoa,Durgapur,10,43,22,Clear,721,928
34.052235,72.877426,Chili,Faridabad,27,74,8,Haze,2390,3332
35.689487,-122.419418,Apple,Firozabad,14,77,14,Partly cloudy,948,1038
35.689487,13.404954,Pineapple,Gandhinagar,10,43,22,Clear,532,551
35.689487,70.800705,Bottle Gourd,Ghaziabad,27,30,9,Clear ,729,705
35.689487,-0.127758,Ginger,Gorakhpur,13,82,7,Clear,928,799
35.689487,72.877426,Tomato,Gulbarga (Kalaburagi),27,74,8,Haze,868,916
35.689487,37.617298,Tobacco,Guntur,1,32,12,Clear,723,908
35.689487,-118.243683,Lychee,Gurgaon (Gurugram),18,54,10,Sunny,686,996
35.689487,-74.005974,Lemon,Guwahati,17,22,33,Sunny,728,579
35.689487,2.352222,Banana,Gwalior,12,100,12,Light Rain,717,586
35.689487,139.691711,Blueberry,Hubli-Dharwad,15,55,6,Clear,1066,1178
35.689487,-122.419418,Beetroot,Hyderabad,14,81,14,Partly cloudy,719,528
37.774929,70.800705,Groundnut,Imphal,27,30,9,Clear ,894,973
37.774929,139.691711,Linseed,Indore,15,55,6,Clear,668,754
37.774929,37.617298,Green Gram,Jabalpur,1,32,12,Clear,1417,1357
37.774929,-118.243683,Cotton,Jaipur,18,54,10,Sunny,896,734
37.774929,-122.419418,Papaya,Jalandhar,14,77,14,Partly cloudy,1690,1168
37.774929,-74.005974,Date Palm,Jammu,17,22,33,Sunny,764,839
37.774929,-0.127758,Papaya,Jamshedpur,13,82,7,Clear,883,849
37.774929,2.352222,Beetroot,Jhansi,12,100,12,Light Rain,701,836
37.774929,13.404954,Papaya,Jodhpur,10,43,22,Clear,962,826
37.774929,72.877426,Tea,Kannur,27,74,8,Haze,583,640
40.712776,2.352222,Chickpeas,Kanpur,12,100,12,Light Rain,1043,1746
40.712776,70.800705,Aloe Vera,Karnal,27,30,9,Clear ,1990,2608
40.712776,-122.419418,Jatropha,Kochi,14,77,14,Partly cloudy,1006,974
40.712776,13.404954,Cowpea,Kohima,10,43,22,Clear,587,736
40.712776,-0.127758,Black Gram,Kolhapur,13,82,7,Clear,868,1126
40.712776,72.877426,Strawberry,Kolkata,27,74,8,Haze,907,716
40.712776,37.617298,Quinoa,Kollam,1,32,12,Clear,892,1091
40.712776,-118.243683,Quinoa,Kota,18,54,10,Sunny,1402,1892
40.712776,-74.005974,Date Palm,Kozhikode,17,22,33,Sunny,558,518
40.712776,139.691711,Cardamom,Kurnool,15,55,6,Clear,1256,1669
40.712776,-122.419418,Coconut,Lucknow,14,81,14,Partly cloudy,1933,2726
40.712776,-0.127758,Cardamom,Ludhiana,11,87,7,Partly cloudy,721,928
40.712776,-118.243683,Bael,Madurai,21,39,10,Sunny,2390,3332
40.712776,13.404954,Sunflower,Mangalore (Mangaluru),10,46,22,Clear,948,1038
40.712776,-74.005974,Wheat,Mathura,16,22,33,Overcast,532,551
48.856613,70.800705,Bitter Gourd,Meerut,27,30,9,Clear ,729,705
48.856613,2.352222,Broccoli,Moradabad,12,100,12,Light Rain,928,799
48.856613,-0.127758,Bottle Gourd,Mumbai,11,87,7,Partly cloudy,868,916
48.856613,37.617298,Lettuce,Mysore (Mysuru),0,34,12,Clear,723,908
48.856613,139.691711,Tulsi,Nagpur,15,55,6,Clear,686,996
48.856613,-118.243683,Jute,Nashik,21,39,10,Sunny,728,579
48.856613,72.877426,Soybean,Nellore,27,74,8,Haze,717,586
48.856613,13.404954,Betel Leaf,Noida,10,46,22,Clear,1066,1178
48.856613,-74.005974,Quinoa,Patna,16,22,33,Overcast,719,528
48.856613,-122.419418,Turmeric,Pondicherry (Puducherry),14,81,14,Partly cloudy,894,973
51.507351,139.691711,Onion,Pune,15,55,6,Clear,668,754
51.507351,2.352222,Pomegranate,Raipur,12,100,12,Light Rain,1417,1357
51.507351,-0.127758,Banana,Rajahmundry,11,87,7,Partly cloudy,896,734
51.507351,-0.127758,Orange,Rajkot,12,88,7,Partly cloudy,1690,1168
51.507351,-74.005974,Cumin,Ranchi,16,22,33,Overcast,764,839
51.507351,-122.419418,Green Gram,Rourkela,14,81,14,Partly cloudy,883,849
51.507351,72.877426,Horse Gram,Salem,27,74,8,Haze,701,836
51.507351,13.404954,Shatavari,Siliguri,10,46,22,Clear,962,826
51.507351,-118.243683,Red Gram,Solapur,21,39,10,Sunny,583,640
51.507351,70.800705,Drumstick,Srinagar,27,30,9,Clear ,1043,1746
51.507351,37.617298,Betel Leaf,Surat,0,34,12,Clear,1990,2608
52.520008,13.404954,Coconut,Thane,10,46,22,Clear,1006,974
52.520008,2.352222,Cabbage,Thiruvananthapuram,12,100,12,Light Rain,587,736
52.520008,-122.419418,Rubber,Thrissur,14,81,14,Partly cloudy,868,1126
52.520008,13.404954,Papaya,Tiruchirappalli,9,50,22,Clear,907,716
52.520008,-74.005974,Bamboo Shoots,Tirunelveli,16,22,33,Overcast,892,1091
52.520008,-118.243683,Avocado,Tirupati,21,39,10,Sunny,1402,1892
52.520008,-0.127758,Blueberry,Udaipur,12,88,7,Partly cloudy,558,518
52.520008,70.800705,Muskmelon,Ujjain,27,30,9,Clear ,1256,1669
52.520008,72.877426,Avocado,Vadodara,27,74,8,Haze,1933,2726
52.520008,139.691711,Arecanut,Varanasi,15,55,6,Clear,721,928
52.520008,37.617298,Moringa,Vellore,0,34,12,Clear,2390,3332
55.755825,13.404954,Oats,Vijayawada,9,50,22,Clear,948,1038
55.755825,70.800705,Rye,Visakhapatnam,27,30,9,Clear ,532,551
55.755825,-118.243683,Turmeric,Warangal,21,39,10,Sunny,729,705
55.755825,-122.419418,Chickpeas,Yamunanagar,14,81,14,Partly cloudy,928,799
55.755825,139.691711,Bael,Yavatmal,15,55,6,Clear,868,916
55.755825,-0.127758,Coconut,Satna,12,88,7,Partly cloudy,723,908
55.755825,37.617298,Fennel,Rewa,0,34,12,Clear,686,996
55.755825,72.877426,Cumin,Bhavnagar,27,74,8,Haze,728,579
55.755825,-74.005974,Turmeric,Karimnagar,16,22,33,Overcast,717,586
55.755825,2.352222,Pigeon Pea,Sambalpur,12,100,12,Light Rain,1066,1178
